src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.22.0.5,172.22.0.3,60094,3001,2048,2025-10-12 20:07:49,0.004957,567278.5959249546,4639.903167238249,3026.0238047205976,1613.879362517652,15,8,1724,1088,374,72,114.93333333333334,101.67888451175864,320,72,136.0,106.28264204469139,374,72,122.26086956521739,103.78959376140219,10772.279773156897,300,160,20,2,0.00022531818181818183,0.004098,0.0,0.0008464727556354414,0.004957,0.004202,0.0,0.0003540714285714286,0.0010693005366851278,0.0047610000000000005,0.004098,7e-06,0.0006801428571428572,0.001403259718204258,2,2,0,0,4,7,0,4,18,0,0,0.5333333333333333,122.26086956521739,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.93333333333334,136.0,0,15,8,1724,1088
172.22.0.1,172.22.0.5,50552,80,2048,2025-10-12 20:07:49,0.00309,821359.2233009709,6796.116504854369,4207.119741100324,2588.9967637540453,13,8,1396,1142,290,72,107.38461538461539,77.93640253589258,347,72,142.75,117.9690107613012,347,72,120.85714285714286,96.73000505298765,9356.693877551017,260,160,20,2,0.0001545,0.002117,0.0,0.0004663183998085428,0.0030900000000000003,0.002161,0.0,0.0002575,0.0005936687488265939,0.0030269999999999997,0.002117,5e-06,0.00043242857142857145,0.000727752480909126,2,2,0,0,4,5,0,4,18,0,0,0.6153846153846154,120.85714285714286,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.38461538461539,142.75,0,13,8,1396,1142
172.22.0.5,172.22.0.3,60106,3001,2048,2025-10-12 20:07:49,0.002058,1286686.1030126337,10204.081632653062,6316.812439261419,3887.2691933916426,13,8,1560,1088,372,72,120.0,107.50313054475706,320,72,136.0,106.28264204469139,372,72,126.0952380952381,107.32145960435862,11517.89569160998,260,160,20,2,0.0001029,0.001596,0.0,0.000343791346604303,0.002058,0.001657,0.0,0.0001715,0.0004495174264326876,0.001958,0.001596,5e-06,0.00027971428571428575,0.0005435633001081748,2,2,0,0,4,5,0,4,18,0,0,0.6153846153846154,126.0952380952381,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,136.0,0,13,8,1560,1088
172.22.0.1,172.22.0.5,50556,80,2048,2025-10-12 20:07:49,0.003543,715777.589613322,5927.180355630821,3669.20688681908,2257.9734688117414,13,8,1394,1142,289,72,107.23076923076923,77.57592196447975,347,72,142.75,117.9690107613012,347,72,120.76190476190476,96.56377352960398,9324.562358276646,260,160,20,2,0.00017715,0.002352,0.0,0.0005171518418221094,0.003543,0.002386,0.0,0.00029525,0.0006524586992037631,0.003417,0.002352,5e-06,0.0004881428571428571,0.0008095600972258997,2,2,0,0,4,5,0,4,18,0,0,0.6153846153846154,120.76190476190476,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.23076923076923,142.75,0,13,8,1394,1142
172.22.0.5,172.22.0.3,60118,3001,2048,2025-10-12 20:07:49,0.002114,1319772.9422894986,10879.848628193,6149.479659413434,4730.368968779565,13,10,1558,1232,371,72,119.84615384615384,107.1424976043559,320,72,123.2,98.44876840265704,371,72,121.30434782608695,103.46578295246199,10705.168241965976,260,200,20,2,9.609090909090909e-05,0.001611,0.0,0.00033295261867267496,0.002114,0.001677,0.0,0.00017616666666666668,0.00045577623042697424,0.002022,0.001611,5e-06,0.00022466666666666666,0.0004949386044977924,2,2,0,0,4,5,0,4,20,0,0,0.7692307692307693,121.30434782608695,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.84615384615384,123.2,0,13,10,1558,1232
172.22.0.1,172.22.0.5,50562,80,2048,2025-10-12 20:07:49,0.00348,729885.0574712644,6034.482758620689,3735.632183908046,2298.8505747126437,13,8,1398,1142,291,72,107.53846153846153,78.29688606109382,347,72,142.75,117.9690107613012,347,72,120.95238095238095,96.89684067309061,9388.997732426305,260,160,20,2,0.00017399999999999997,0.002423,0.0,0.0005257779949750654,0.00348,0.002489,0.0,0.00028999999999999995,0.0006745866635701203,0.0034159999999999998,0.002423,5e-06,0.0004879999999999999,0.0008196832140702719,2,2,0,0,4,5,0,4,18,0,0,0.6153846153846154,120.95238095238095,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.53846153846153,142.75,0,13,8,1398,1142
172.22.0.5,172.22.0.3,60126,3001,2048,2025-10-12 20:07:49,0.002221,1193156.2359297613,9455.200360198109,4952.72399819901,4502.4763619991,11,10,1418,1232,373,72,128.9090909090909,115.11611098479855,320,72,123.2,98.44876840265704,373,72,126.19047619047619,107.53985708414348,11564.820861678003,220,200,20,2,0.00011105000000000002,0.001691,0.0,0.00036384769822001077,0.002183,0.00177,0.0,0.0002183,0.000520680525850545,0.002141,0.001691,6e-06,0.0002378888888888889,0.0005170197598726431,2,2,0,0,4,5,0,4,18,0,0,0.9090909090909091,126.19047619047619,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.9090909090909,123.2,0,11,10,1418,1232
172.22.0.1,172.22.0.5,50572,80,2048,2025-10-12 20:07:49,0.003534,719864.1765704585,5942.275042444822,3678.5512167515567,2263.7238256932656,13,8,1402,1142,293,72,107.84615384615384,79.01786181115699,347,72,142.75,117.9690107613012,347,72,121.14285714285714,97.23231175375597,9454.12244897959,260,160,20,2,0.00017669999999999999,0.002685,0.0,0.0005830576386601929,0.0035340000000000002,0.002755,0.0,0.0002945,0.0007509316990690076,0.0034779999999999998,0.002685,7e-06,0.0004968571428571429,0.0009088973584312288,2,2,0,0,4,5,0,4,18,0,0,0.6153846153846154,121.14285714285714,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.84615384615384,142.75,0,13,8,1402,1142
172.22.0.5,172.22.0.3,60132,3001,2048,2025-10-12 20:07:49,0.002443,1086369.2181743758,8595.98853868195,5321.3262382316825,3274.6623004502662,13,8,1566,1088,375,72,120.46153846153847,108.58503607390661,320,72,136.0,106.28264204469139,375,72,126.38095238095238,107.97772089008352,11659.188208616779,260,160,20,2,0.00012215,0.001839,0.0,0.00039566845653905743,0.002443,0.001903,0.0,0.0002035833333333333,0.0005147338241481924,0.002254,0.001839,6e-06,0.0003220000000000001,0.000625909623781946,2,2,0,0,4,5,0,4,18,0,0,0.6153846153846154,126.38095238095238,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.46153846153847,136.0,0,13,8,1566,1088
172.22.0.1,172.22.0.5,50578,80,2048,2025-10-12 20:07:49,0.003227,787728.5404400373,6507.5921908893715,4028.509451502944,2479.082739386427,13,8,1400,1142,292,72,107.6923076923077,78.6573724994721,347,72,142.75,117.9690107613012,347,72,121.04761904761905,97.0642772749197,9421.473922902494,260,160,20,2,0.00016135,0.002261,0.0,0.0004920791882410797,0.0032270000000000003,0.002291,0.0,0.0002689166666666667,0.0006221936271951217,0.003169,0.002261,3e-06,0.00045271428571428573,0.0007664201969985831,2,2,0,0,4,5,0,4,18,0,0,0.6153846153846154,121.04761904761905,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.6923076923077,142.75,0,13,8,1400,1142
